Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0730169544,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HT,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0727069597,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HU,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0769,M0703569717,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HV,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0669,M0698569715,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HW,
Hypericum canadense,Irish St John's-wort,Aug-05,2005,M06,M0669,M0698169694,"Tourmakeady, Co. Mayo","Derrycraff (Derrinkee) road, Tourmakeady",Miscellaneous NPWS Records,DSS00520000007HX,
Hypericum canadense,Irish St John's-wort,24/08/2005,2005,M07,M0372,M0305372298,"Croaghrimbeg, Co. Mayo",Near Croaghrimbeg,Miscellaneous NPWS Records,DSS00520000007HY,
Hypericum canadense,Irish St John's-wort,22/08/2005,2005,M07,M0072,M003722,"Derinkee, Co. Mayo","River Cross, Derinkee",Miscellaneous NPWS Records,DSS00520000007HZ,
Hypericum hirsutum,Hairy St John's-wort,Aug-05,2005,O03,O0335,O039357,"Lucan, Co. Dublin","St Edmondsbury, Liffey Valley, Lucan",Miscellaneous NPWS Records,DSS00520000007IA,
Hordeum secalinum,Meadow Barley,09/08/2005,2005,R37,R3470,R344702,"Islandmagrath Point, SW of Clarecastle, Co. Clare","Islandmacgrath Point, SW of Clarecastle",Miscellaneous NPWS Records,DSS00520000007IG,
Mibora minima,Early Sand-grass,07/07/2005,2005,V72,V7625,V7625,"Cannawee, Barley Cove, Co. Cork","Cannawee dune-system, Barley Cove, West Cork",Miscellaneous NPWS Records,DSS00520000007IZ,
Simethis mattiazzii,Kerry Lily,27/07/2005,2005,V55,V5158,V5197558675,"Derrynane Harbour, Co. Kerry",Derrynane Harbour,Miscellaneous NPWS Records,DSS00520000007JX,
Simethis mattiazzii,Kerry Lily,27/07/2005,2005,V55,V5158,V5189858677,"Derrynane Harbour, Co. Kerry",Derrynane Harbour,Miscellaneous NPWS Records,DSS00520000007K2,
Simethis mattiazzii,Kerry Lily,27/07/2005,2005,V55,V5158,V5197758736,"CasteMaine Harbour, Derrynane, Co. Kerry","CasteMaine Harbour, Derrynane",Miscellaneous NPWS Records,DSS00520000007K6,
Simethis mattiazzii,Kerry Lily,27/07/2005,2005,V55,V5357,V5334457583,"Lamb's Head, Co. Kerry",Lamb's Head,Miscellaneous NPWS Records,DSS00520000007KA,
Simethis mattiazzii,Kerry Lily,28/07/2005,2005,V55,V5157,V5162857973,"West side of Abbey Island, Co. Kerry",West side  of Abbey Island,Miscellaneous NPWS Records,DSS00520000007KF,
Simethis mattiazzii,Kerry Lily,28/07/2005,2005,V55,V5157,V5164457880,"West side of Abbey Island, Co. Kerry",West side of Abbey Island,Miscellaneous NPWS Records,DSS00520000007KK,
Simethis mattiazzii,Kerry Lily,28/07/2005,2005,V55,V5356,V5312956136,"Lamb's Head, Co. Kerry","Southmost point of Lamb's Head, facing Lamb's Island",Miscellaneous NPWS Records,DSS00520000007KQ,
Simethis mattiazzii,Kerry Lily,04/08/2005,2005,V66,V6261,V6228861041,"Ring of Kerry N70, Co. Kerry",Ring of Kerry N70,Miscellaneous NPWS Records,DSS00520000007KU,
Trichomanes speciosum,Killarney Fern,31/07/2005,2005,V98,,,Details held by NPWS,,Miscellaneous NPWS Records,DSS00520000007KX,Yes
Trichomanes speciosum,Killarney Fern,02/08/2005,2005,V47,,,Details held by NPWS,,Miscellaneous NPWS Records,DSS00520000007KZ,Yes
Betonica officinalis,Betony,10/10/2005,2005,V98,V9585,V9525785971,"Mines Paddock, Killarney National Park, Co. Kerry","Mines paddock, Killarney National Park",Miscellaneous NPWS Records,DSS00520000007L8,
Betonica officinalis,Betony,10/10/2005,2005,V98,V9787,V9724687105,"Lough Leane, Killarney National Park, Co. Kerry","Lough Leane Shore, Lower Lake, Killarney National Park",Miscellaneous NPWS Records,DSS00520000007LB,
